t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,bf16,1360,12288,33,28,38.23,55,210,405,0,0,0,
0.0384,bf16,1360,12288,33,28,38.23,55,210,405,0,0,0,
0.2172,bf16,1360,12288,33,28,38.19,55,210,405,0,0,0,
0.3879,bf16,1360,12288,33,28,38.19,55,210,405,0,0,0,
0.5560,bf16,1360,12288,33,28,38.19,55,210,405,0,0,0,
0.7425,bf16,1360,12288,29,26,38.16,54,210,405,0,0,0,
1.0535,bf16,1360,12288,29,26,38.16,54,210,405,0,0,0,
1.2987,bf16,1360,12288,29,26,38.04,54,210,405,0,0,0,
1.4708,bf16,1360,12288,29,26,38.04,54,210,405,0,0,0,
1.6421,bf16,1360,12288,29,26,38.04,54,210,405,0,0,0,
1.8109,bf16,1360,12288,28,26,38.02,54,210,405,0,0,0,
1.9810,bf16,1360,12288,28,26,38.02,54,210,405,0,0,0,
2.1541,bf16,1360,12288,28,26,38.02,54,210,405,0,0,0,
2.3242,bf16,1360,12288,28,26,37.96,54,210,405,0,0,0,
2.5968,bf16,1360,12288,28,26,37.96,54,210,405,0,0,0,
2.7723,bf16,1370,12288,33,27,37.87,54,210,405,0,0,0,
4.1487,bf16,11847,12288,18,1,107.17,57,1995,9251,3375.01,11062,11058.7,
6.4941,bf16,11849,12288,6,1,115.42,56,1710,9251,4155.08,11062,11058.7,
7.4195,bf16,11849,12288,6,1,115.03,57,1710,9251,5340.14,11062,11058.7,
9.0222,bf16,11849,12288,8,1,108.97,55,780,810,6000.19,11062,11058.7,
9.8762,bf16,11882,12288,14,14,77.26,54,690,810,6635.23,11062,11058.7,
10.9082,bf16,11882,12288,43,17,44.01,53,600,810,7060.25,11062,11058.7,
11.4616,bf16,11882,12288,43,17,43.33,53,570,810,7685.3,11062,11058.7,
12.4247,bf16,11892,12288,31,15,42.06,53,525,810,8220.34,11062,11058.7,
13.9077,bf16,11892,12288,22,14,41.95,52,465,810,9160.39,11062,11058.7,
14.9161,bf16,11954,12288,21,13,41.73,52,465,810,9785.43,11062,11058.7,
16.5730,bf16,11954,12288,53,18,41.71,51,495,810,10725.5,11062,11058.7,
17.7407,bf16,11953,12288,74,21,41.71,51,645,810,11252.5,11334,11252.5,
18.8384,bf16,11953,12288,14,13,41.82,51,645,810,11780.6,11792,11780.6,
19.8292,bf16,11953,12288,41,14,41.62,51,1710,9251,12308.6,12310,12308.6,
20.7903,bf16,11948,12288,18,1,102.67,53,1710,9251,12836.6,12838,12836.6,
21.7832,bf16,11948,12288,17,1,113.31,54,1710,9251,13364.7,13366,13364.7,
22.8377,bf16,11948,12288,16,1,113.4,54,1710,9251,13902.7,13904,13902.7,
23.8674,bf16,11948,12288,19,13,44.38,51,675,810,14430.7,14432,14430.7,
24.5204,bf16,11948,12288,19,13,44.38,51,675,810,14948.8,14950,14948.8,
25.2389,bf16,11948,12288,11,13,42.27,51,1710,9251,15476.8,15478,15476.8,
26.0392,bf16,11943,12288,7,1,74,53,1710,9251,16004.8,16006,16004.8,
26.7266,bf16,11923,12288,9,1,112.99,53,1710,9251,16532.9,16534,16532.9,
27.4762,bf16,11981,12288,10,4,115,54,1710,9251,17120.9,17122,17120.9,
28.2908,bf16,11974,12288,10,4,116.37,53,1710,9251,17708.9,17710,17708.9,
29.0414,bf16,11974,12288,19,1,110.23,53,990,5001,18227,18228,18227,
29.5209,bf16,11974,12288,35,14,85.75,51,900,810,18705,18706,18705,
30.4857,bf16,11955,12288,35,14,54.11,51,810,810,19183,19184,19183,
30.7502,bf16,11961,12288,32,14,43.2,50,750,810,19565,19566,19565,
31.3533,bf16,11972,12288,32,14,53.93,52,1710,9251,19711.1,19712,19711.1,
31.6763,bf16,11972,12288,6,1,85.58,53,1710,9251,20229.1,20230,20229.1,
32.2281,bf16,11970,12288,6,1,112.22,53,1710,9251,20757.1,20758,20757.1,
32.9944,bf16,11965,12288,6,1,112.52,53,1710,9251,21285.1,21286,21285.2,
33.6295,bf16,11951,12288,6,1,112.94,53,1710,9251,21813.2,21814,21813.2,
34.3979,bf16,11957,12288,18,1,107.67,52,855,810,22341.2,22342,22341.2,
35.1736,bf16,11976,12288,11,13,76.56,51,810,810,22869.2,22870,22869.2,
35.8926,bf16,11986,12288,11,14,42.99,50,690,810,23397.3,23398,23397.3,
36.4925,bf16,11971,12288,11,14,42.46,50,630,810,23397.3,23398,23397.3,
36.6768,bf16,11972,12288,11,14,42.46,50,630,810,23507.3,23508,23507.3,
37.1446,bf16,11980,12288,84,26,46.33,50,1095,810,23935.3,23936,23935.3,
37.5842,bf16,11973,12288,84,26,46.33,50,1095,810,24453.3,24454,24453.3,
38.2073,bf16,11976,12288,22,12,66.3,52,1710,9251,24981.4,24982,24981.4,
38.8427,bf16,11986,12288,32,2,103.64,52,1710,9251,25509.4,25510,25509.4,
39.6192,bf16,11969,12288,32,2,112.92,52,1710,9251,26037.4,26038,26037.4,
40.3104,bf16,11965,12288,21,1,113.03,53,1710,9251,26685.5,26686,26685.5,
41.2991,bf16,11963,12288,21,1,101.28,51,915,810,27103.5,27104,27103.5,
41.7049,bf16,11945,12288,27,12,70,50,825,810,27621.5,27622,27621.5,
42.3019,bf16,11945,12288,27,12,43.21,50,705,810,28013.6,28014,28013.6,
43.0161,bf16,11976,12288,19,15,42.11,49,630,810,28269.6,28270,28269.6,
43.2110,bf16,11978,12288,19,15,42.11,49,630,810,28269.6,28270,28269.6,
43.3789,bf16,11980,12288,19,15,41.55,49,570,810,28279.3,28292,28279.3,
43.5493,bf16,11970,12288,19,15,41.55,49,570,810,28280.3,28298,28283.6,
43.7350,bf16,11978,12288,95,30,43.04,49,510,810,28280.3,28298,28283.6,
43.9546,bf16,11974,12288,95,30,43.04,49,510,810,28284.7,28298,28285.4,
44.1392,bf16,11974,12288,95,30,43.04,49,510,810,28282.8,28300,28286.3,
44.3124,bf16,11974,12288,95,30,89.77,53,2010,9251,28285.4,28300,28286.4,
44.4958,bf16,11971,12288,95,30,89.77,53,2010,9251,28283.9,28300,28287.1,
44.6665,bf16,11973,12288,95,30,89.77,53,2010,9251,28284.9,28302,28287.6,
44.8369,bf16,11973,12288,98,1,143.86,54,2010,9251,28284.1,28302,28288.6,
45.0104,bf16,11964,12288,98,1,143.86,54,2010,9251,28285.8,28302,28288.6,
45.1801,bf16,11961,12288,98,1,143.86,54,2010,9251,28284.9,28302,28288.6,
45.3525,bf16,11959,12288,98,1,164.29,55,2010,9251,28284.9,28302,28288.6,
45.5218,bf16,11953,12288,98,1,164.29,55,2010,9251,28286.4,28302,28288.6,
45.6919,bf16,11947,12288,98,1,164.29,55,2010,9251,28286.4,28302,28288.6,
45.8631,bf16,11947,12288,100,1,165.42,55,2010,9251,28285.2,28302,28288.6,
46.0341,bf16,11947,12288,100,1,165.42,55,2010,9251,28285.2,28302,28288.6,
46.2051,bf16,11947,12288,100,1,165.42,55,2010,9251,28285,28302,28288.6,
46.3748,bf16,11939,12288,100,1,166.82,55,2010,9251,28285.1,28302,28288.6,
46.5431,bf16,11937,12288,100,1,166.82,55,2010,9251,28285.1,28302,28288.6,
46.7149,bf16,11937,12288,98,1,166.71,55,2010,9251,28285.1,28302,28288.6,
46.8850,bf16,11937,12288,98,1,166.71,55,2010,9251,28285.1,28302,28288.6,
47.0721,bf16,11937,12288,98,1,166.71,55,2010,9251,28285.1,28302,28288.6,
47.2444,bf16,11937,12288,98,1,166.42,56,2010,9251,28285.4,28302,28288.6,
47.4145,bf16,11937,12288,98,1,166.42,56,2010,9251,28285.4,28302,28288.6,
47.5982,bf16,11933,12288,98,1,166.42,56,2010,9251,28285.3,28302,28288.6,
47.7681,bf16,11925,12288,96,14,166.56,56,2010,9251,28285.3,28302,28288.6,
47.9392,bf16,11921,12288,96,14,166.56,56,2010,9251,28285.3,28302,28288.6,
48.1105,bf16,11921,12288,96,14,166.56,56,2010,9251,28285.3,28302,28288.6,
48.2813,bf16,11921,12288,96,14,166.9,56,2010,9251,28285.3,28302,28288.6,
48.4542,bf16,11921,12288,96,14,166.9,56,2010,9251,28285.3,28302,28288.6,
48.6253,bf16,11921,12288,96,14,166.9,56,2010,9251,28285.6,28302,28288.6,
48.7968,bf16,11921,12288,99,1,164.72,56,2010,9251,28285.6,28302,28288.6,
48.9686,bf16,11921,12288,99,1,164.72,56,2010,9251,28285.4,28302,28288.6,
49.1407,bf16,11921,12288,99,1,164.72,56,2010,9251,28285.4,28302,28288.6,
49.3112,bf16,11921,12288,99,1,167.27,56,1995,9251,28285.5,28302,28288.6,
49.4836,bf16,11921,12288,99,1,167.27,56,1995,9251,28285.5,28302,28288.6,
49.6537,bf16,11921,12288,99,1,167.27,56,1995,9251,28285.5,28302,28288.6,
49.8248,bf16,11921,12288,98,1,167.07,56,1995,9251,28285.5,28302,28288.6,
49.9967,bf16,11936,12288,98,1,167.07,56,1995,9251,28285.7,28302,28288.6,
50.1670,bf16,11936,12288,98,1,167.07,56,1995,9251,28286.6,28302,28288.6,
50.3394,bf16,11936,12288,98,1,167.07,56,1995,9251,28285.7,28302,28288.6,
50.5115,bf16,11936,12288,98,1,167.07,56,1995,9251,28285.7,28302,28288.6,
50.6807,bf16,11936,12288,98,1,167.07,56,1995,9251,28285.7,28302,28288.6,
50.8534,bf16,11936,12288,100,1,167.01,56,1995,9251,28285.8,28302,28288.6,
51.0250,bf16,11936,12288,100,1,167.01,56,1995,9251,28285.8,28302,28288.6,
51.1962,bf16,11936,12288,100,1,167.01,56,1995,9251,28285.8,28302,28288.6,
51.3666,bf16,11936,12288,100,1,164.6,56,1995,9251,28285.8,28302,28288.6,
51.5369,bf16,11936,12288,100,1,164.6,56,1995,9251,28285.8,28302,28288.6,
51.7076,bf16,11936,12288,100,1,164.6,56,1995,9251,28287.6,28302,28288.6,
51.8789,bf16,11936,12288,100,1,167.13,56,1995,9251,28285.9,28302,28288.6,
52.0488,bf16,11934,12288,100,1,167.13,56,1995,9251,28285.9,28302,28288.6,
52.2074,bf16,11934,12288,100,1,167.13,56,1995,9251,28285.9,28302,28288.6,
52.3777,bf16,11934,12288,100,1,166.67,56,1995,9251,28286.1,28302,28288.6,
52.5511,bf16,11934,12288,100,1,166.67,56,1995,9251,28286.1,28302,28288.6,
52.7186,bf16,11934,12288,93,16,166.61,57,1995,9251,28286,28302,28288.6,
52.9033,bf16,11934,12288,93,16,166.61,57,1995,9251,28286,28302,28288.6,
53.0735,bf16,11934,12288,93,16,166.61,57,1995,9251,28286,28302,28288.6,
53.2456,bf16,11934,12288,93,16,166.5,57,1995,9251,28286.3,28302,28288.6,
53.4164,bf16,11934,12288,93,16,166.5,57,1995,9251,28286.3,28302,28288.6,
53.5872,bf16,11934,12288,93,16,166.5,57,1995,9251,28286.3,28302,28288.6,
53.7578,bf16,11934,12288,100,1,164.97,57,1995,9251,28286.3,28302,28288.6,
53.9423,bf16,11934,12288,100,1,164.97,57,1995,9251,28286.3,28302,28288.6,
54.1114,bf16,11934,12288,100,1,164.97,57,1995,9251,28284.7,28302,28293.8,1
54.2820,bf16,11934,12288,100,1,167.74,57,1995,9251,28286.4,28302,28297.7,1
54.4525,bf16,11942,12288,100,1,167.74,57,1995,9251,28295.5,28310,28303.7,1
54.6241,bf16,11942,12288,100,1,167.74,57,1995,9251,28295.5,28310,28303.7,1
54.7941,bf16,11942,12288,100,1,168.6,57,1995,9251,28295.5,28310,28303.7,1
54.9666,bf16,11942,12288,100,1,168.6,57,1995,9251,28295.5,28310,28303.7,1
55.1366,bf16,11942,12288,100,1,168.6,57,1995,9251,28295.5,28310,28303.7,1
55.3118,bf16,11942,12288,100,1,167.91,57,1995,9251,28295.5,28310,28303.7,1
55.4831,bf16,11942,12288,100,1,167.91,57,1995,9251,28295.5,28310,28303.7,1
55.6681,bf16,11944,12288,100,1,167.91,57,1995,9251,28301.5,28312,28305.3,1
55.8385,bf16,11944,12288,100,1,164.77,57,1995,9251,28301.5,28312,28305.3,1
56.0089,bf16,11944,12288,100,1,164.77,57,1995,9251,28301.5,28312,28305.3,1
56.1826,bf16,11946,12288,100,1,164.77,57,1995,9251,28306.1,28314,28307.3,1
56.3532,bf16,11946,12288,100,1,164.97,57,1995,9251,28306.1,28314,28307.3,1
56.5240,bf16,11946,12288,100,1,164.97,57,1995,9251,28294.3,28314,28307.6,1
56.6956,bf16,11946,12288,100,1,164.97,57,1995,9251,28294.4,28314,28307.6,1
56.8672,bf16,11946,12288,100,1,167.52,57,1995,9251,28294.4,28314,28307.6,1
57.0392,bf16,11946,12288,100,1,167.52,57,1995,9251,28294.4,28314,28307.6,1
57.2110,bf16,11946,12288,100,1,167.52,57,1995,9251,28295.5,28314,28307.6,1
57.3833,bf16,11945,12288,100,1,167.06,57,1995,9251,28295.5,28314,28307.6,1
57.5532,bf16,11945,12288,100,1,167.06,57,1995,9251,28294.5,28314,28307.6,1
57.7237,bf16,11945,12288,100,1,164.45,57,1995,9251,28294.5,28314,28307.6,1
57.8928,bf16,11945,12288,100,1,164.45,57,1995,9251,28294.6,28314,28307.6,1
58.0635,bf16,11947,12288,100,1,164.45,57,1995,9251,28295.6,28314,28307.6,1
58.2350,bf16,11951,12288,100,1,167.59,57,1995,9251,28294.7,28314,28307.6,1
58.4041,bf16,11951,12288,100,1,167.59,57,1995,9251,28294.7,28314,28307.6,1
