t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,nf4,1320,12288,3,1,95.59,54,495,5001,0,0,0,
0.0365,nf4,1320,12288,3,1,95.59,54,495,5001,0,0,0,
0.2128,nf4,1307,12288,3,1,95.59,54,495,5001,0,0,0,
0.3963,nf4,1299,12288,9,2,78.62,53,405,810,0,0,0,
0.5665,nf4,1299,12288,9,2,78.62,53,405,810,0,0,0,
0.7360,nf4,1299,12288,9,2,78.62,53,405,810,0,0,0,
0.9065,nf4,1299,12288,9,2,61.3,53,360,810,0,0,0,
1.1253,nf4,1299,12288,9,2,61.3,53,360,810,0,0,0,
1.3204,nf4,1298,12288,5,12,45.33,52,285,810,0,0,0,
1.4897,nf4,1294,12288,5,12,45.33,52,285,810,0,0,0,
1.6756,nf4,1294,12288,5,12,45.33,52,285,810,0,0,0,
1.8472,nf4,1294,12288,5,12,41.21,52,240,810,0,0,0,
2.0142,nf4,1294,12288,5,12,41.21,52,240,810,0,0,0,
2.1832,nf4,1294,12288,5,12,41.21,52,240,810,0,0,0,
2.3512,nf4,1292,12288,5,12,40.74,52,210,810,0,0,0,
2.5184,nf4,1283,12288,5,12,40.74,52,210,810,0,0,0,
2.6872,nf4,1283,12288,5,12,40.74,52,210,810,0,0,0,
2.8581,nf4,1285,12288,5,12,40.53,52,210,405,0,0,0,
3.0270,nf4,1281,12288,5,12,40.53,52,210,405,0,0,0,
3.1951,nf4,1273,12288,5,12,40.53,52,210,405,0,0,0,
3.3655,nf4,1260,12288,31,30,39.15,52,210,405,0,0,0,
3.5364,nf4,1260,12288,31,30,39.15,52,210,405,0,0,0,
3.7052,nf4,1260,12288,31,30,39.15,52,210,405,0,0,0,
3.8755,nf4,1260,12288,31,30,37.51,51,210,405,0,0,0,
4.0436,nf4,1260,12288,31,30,37.51,51,210,405,0,0,0,
4.2140,nf4,1261,12288,31,30,37.51,51,210,405,0,0,0,
4.4008,nf4,1261,12288,11,25,37.34,51,255,405,0,0,0,
4.5811,nf4,1261,12288,11,25,37.34,51,255,405,0,0,0,
4.7602,nf4,1261,12288,11,25,36.72,51,255,405,0,0,0,
