t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,bf16,1110,12288,2,22,33.9,46,210,405,0,0,0,
0.0475,bf16,1110,12288,2,22,33.9,46,210,405,0,0,0,
0.2209,bf16,1112,12288,2,22,33.9,46,210,405,0,0,0,
0.3906,bf16,1112,12288,2,22,33.99,46,210,405,0,0,0,
0.5600,bf16,1112,12288,2,22,33.99,46,210,405,0,0,0,
0.7437,bf16,1112,12288,3,22,33.93,46,210,405,0,0,0,
1.0184,bf16,1112,12288,3,22,33.93,46,210,405,0,0,0,
1.2344,bf16,1112,12288,3,22,33.93,46,210,405,0,0,0,
1.4001,bf16,1112,12288,3,22,33.94,46,210,405,0,0,0,
1.5706,bf16,1112,12288,3,22,33.94,46,210,405,0,0,0,
1.7379,bf16,1112,12288,3,22,33.94,46,210,405,0,0,0,
1.9199,bf16,1112,12288,9,24,33.96,46,210,405,0,0,0,
2.0903,bf16,1112,12288,9,24,33.96,46,210,405,0,0,0,
2.2590,bf16,1112,12288,9,24,33.96,46,210,405,0,0,0,
2.4278,bf16,1112,12288,9,24,33.98,46,210,405,0,0,0,
2.5967,bf16,1110,12288,9,24,33.98,46,210,405,0,0,0,
2.7657,bf16,1110,12288,9,24,33.98,46,210,405,0,0,0,
3.0325,bf16,1110,12288,5,23,34.08,46,210,405,0,0,0,
3.2115,bf16,1132,12288,5,23,34.08,46,210,405,0,0,0,
3.4385,bf16,7414,12288,5,23,35.93,47,1710,9251,360.012,11062,11058.7,
3.8349,bf16,11911,12288,21,2,78.31,49,1980,9251,1296.04,11062,11058.7,
4.7820,bf16,11915,12288,15,1,131.41,50,1980,9251,2976.08,11062,11058.7,
6.3137,bf16,11913,12288,12,1,109.87,50,1710,9251,4464.14,11062,11058.7,
7.3292,bf16,11937,12288,12,1,110.01,50,1710,9251,6120.19,11062,11058.7,
9.1615,bf16,11937,12288,7,1,110.15,51,1710,9251,6864.22,11062,11058.7,
