"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","52,45"
"1","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","45,93"
"2","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50,84"
"3","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","51,82"
"4","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","52,07"
"5","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","53,01"
"6","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50,48"
"7","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","46,10"
"0","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","12,94"
"1","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","12,03"
"2","18284","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","12,64"
