"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","25,44"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","25,33"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26,01"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","23,45"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","23,28"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","22,62"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","22,64"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","26,02"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,42"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,51"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,57"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,31"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,25"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,25"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,25"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2,35"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","235,14"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","39,04"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","13,95"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","37,38"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","15,36"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","20,74"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Kbyte","221,70"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","83,39"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,38"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,51"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,15"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,33"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,37"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,27"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","82,39"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"0","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"1","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"2","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"3","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"4","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"5","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"6","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
"7","20528","python.exe","127.0.0.1","gemv_splitk","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.6","Command line profiler metrics","launch__block_size","","128"
