"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50,93"
"1","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50,61"
"2","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","49,29"
"3","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50,72"
"4","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","49,03"
"5","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","47,07"
"6","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","47,27"
"7","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","47,19"
"0","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","25,02"
"1","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","24,30"
"2","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","24,21"
"3","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","24,39"
"4","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","23,99"
"5","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","24,00"
"6","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","24,04"
"7","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_read.sum","Mbyte","24,03"
"0","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2,75"
"1","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2,72"
"2","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2,19"
"3","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2,74"
"4","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2,19"
"5","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","1,21"
"6","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","1,21"
"7","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","dram__bytes_write.sum","Mbyte","1,21"
"0","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"1","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"2","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"3","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"4","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"5","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"6","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"7","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"0","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","72,46"
"1","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","72,24"
"2","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","72,31"
"3","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","72,21"
"4","34028","python.exe","127.0.0.1","gemv_swiglu","1","7","(128, 1, 1)","(2752, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","72,20"
