t_s,codec,used_mib,total_mib,util_gpu,util_mem,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,torch_alloc_mib,torch_reserved_mib,torch_max_alloc_mib,message_id
0.0000,bf16,1488,12288,7,11,41.19,51,210,810,0,0,0,
0.0387,bf16,1487,12288,19,16,41.1,51,210,810,0,0,0,
0.2175,bf16,1487,12288,19,16,41.1,51,210,810,0,0,0,
0.3877,bf16,1487,12288,19,16,41.1,51,210,810,0,0,0,
0.5572,bf16,1487,12288,19,16,40.6,51,210,405,0,0,0,
0.9469,bf16,1487,12288,19,16,40.6,51,210,405,0,0,0,
1.1606,bf16,1486,12288,7,21,38.19,51,210,405,0,0,0,
1.3376,bf16,1479,12288,7,21,38.19,51,210,405,0,0,0,
1.5001,bf16,1479,12288,7,21,38.19,51,210,405,0,0,0,
1.6729,bf16,1479,12288,7,21,35.68,50,210,405,0,0,0,
1.8445,bf16,1478,12288,7,21,35.68,50,210,405,0,0,0,
2.0154,bf16,1468,12288,7,22,35.44,50,210,405,0,0,0,
2.1856,bf16,1468,12288,7,22,35.44,50,210,405,0,0,0,
2.3564,bf16,1468,12288,7,22,35.44,50,210,405,0,0,0,
2.5677,bf16,1468,12288,7,22,35.38,50,210,405,0,0,0,
2.7459,bf16,1690,12288,7,22,35.38,50,210,405,11058.7,11060,11058.7,
3.9510,bf16,11851,12288,98,6,101.92,54,1995,9251,3375.02,11062,11058.7,
6.3119,bf16,11854,12288,5,1,113.28,53,1710,9251,4425.08,11062,11058.7,
7.3586,bf16,11854,12288,14,1,113.22,53,1710,9251,5070.14,11062,11058.7,
9.1679,bf16,11854,12288,10,12,98.19,52,765,810,5485.15,11062,11058.7,
9.4091,bf16,11878,12288,10,12,66.62,51,690,810,6535.21,11062,11058.7,
11.2490,bf16,11918,12288,3,11,40.44,50,405,405,7060.25,11062,11058.7,
12.1878,bf16,11918,12288,37,27,38,50,360,405,7575.29,11062,11058.7,
13.1931,bf16,11918,12288,84,32,35.6,49,285,405,8160.32,11062,11058.7,
14.2447,bf16,11918,12288,14,13,39.67,49,450,810,8635.35,11062,11058.7,
14.8717,bf16,11918,12288,14,13,39.67,49,450,810,9150.39,11062,11058.7,
15.6672,bf16,11918,12288,4,11,37.93,49,375,405,9785.43,11062,11058.7,
16.9578,bf16,11918,12288,47,16,39.52,49,450,810,10590.5,11062,11058.7,
17.7561,bf16,11933,12288,47,16,39.29,49,300,405,10980.5,11062,11058.7,
18.3933,bf16,11941,12288,24,25,37.66,48,345,405,11252.5,11334,11252.5,
18.6232,bf16,11979,12288,24,25,35.68,48,345,405,11372.5,11384,11372.5,
19.0340,bf16,11987,12288,20,11,37,48,480,810,11890.6,11892,11890.6,
19.6137,bf16,11979,12288,4,11,39.48,48,480,810,12418.6,12420,12418.6,
20.4373,bf16,11979,12288,4,11,39.2,48,330,405,12846.6,12848,12846.6,
21.0821,bf16,11979,12288,66,23,37.28,48,300,405,13364.7,13366,13364.7,
21.8395,bf16,11979,12288,66,23,37.26,48,450,810,13892.7,13894,13892.7,
22.5051,bf16,11979,12288,4,11,39.21,48,450,810,14430.7,14432,14430.7,
23.3099,bf16,11979,12288,53,23,38.49,48,360,405,14948.8,14950,14948.8,
24.0241,bf16,11979,12288,23,23,35.15,47,330,405,15476.8,15478,15476.8,
24.6797,bf16,11979,12288,23,23,35.15,47,345,405,16064.8,16066,16064.8,
25.4645,bf16,11979,12288,21,23,35.17,47,420,405,16532.9,16534,16532.9,
26.0166,bf16,11979,12288,13,11,35.98,47,585,810,17070.9,17072,17070.9,
26.7165,bf16,11971,12288,13,11,38.11,47,585,810,17588.9,17590,17588.9,
27.3913,bf16,11971,12288,29,12,39.66,47,585,810,18116.9,18118,18116.9,
28.1141,bf16,11971,12288,28,12,39.22,47,435,810,18655,18656,18655,
28.8972,bf16,11971,12288,28,12,38.88,47,405,405,19173,19174,19173,
29.6792,bf16,11971,12288,20,23,35.15,46,345,405,19293,19294,19293,
30.0171,bf16,11971,12288,4,23,34.97,46,420,405,19701.1,19702,19701.1,
30.4458,bf16,11971,12288,4,23,34.97,46,420,405,20229.1,20230,20229.1,
31.1485,bf16,11971,12288,26,11,37.23,46,465,810,20349.1,20350,20349.1,
31.7208,bf16,11951,12288,26,11,38.68,46,465,810,20767.1,20768,20767.1,
31.9993,bf16,11979,12288,26,11,38.68,46,465,810,21285.1,21286,21285.2,
32.6838,bf16,11976,12288,19,13,37.95,46,375,405,21395.2,21396,21395.2,
32.9173,bf16,11972,12288,17,1,53.91,48,1710,9251,21813.2,21814,21813.2,
33.4027,bf16,11957,12288,17,1,53.91,48,1710,9251,22341.2,22352,22351.2,
34.3461,bf16,11953,12288,11,1,111.55,49,1710,9251,22869.2,22870,22869.2,
34.8336,bf16,11953,12288,11,1,111.55,49,1710,9251,23397.3,23398,23397.3,
35.4777,bf16,11953,12288,7,1,111.34,49,1710,9251,23925.3,23926,23925.3,
36.1573,bf16,11953,12288,2,11,97.05,48,720,810,24181.3,24182,24181.3,
36.7284,bf16,11953,12288,2,11,65.74,47,660,810,24573.4,24574,24573.4,
37.0163,bf16,11953,12288,3,11,41.77,47,570,810,24991.4,24992,24991.4,
37.5709,bf16,11953,12288,3,11,40.71,46,510,810,25509.4,25510,25509.4,
38.2023,bf16,11953,12288,29,11,39.66,46,450,810,26037.4,26038,26037.4,
38.9116,bf16,11948,12288,29,11,38.77,46,405,405,26565.5,26566,26565.5,
39.5225,bf16,11948,12288,16,11,37.48,46,525,810,27093.5,27094,27093.5,
40.2572,bf16,11955,12288,29,11,38.9,46,525,810,27631.5,27632,27631.5,
40.9505,bf16,11955,12288,29,11,38.91,46,525,810,28149.6,28150,28149.6,
41.6128,bf16,11955,12288,25,12,38.12,46,555,810,28269.6,28270,28269.6,
41.8078,bf16,11927,12288,25,12,38.12,46,555,810,28269.6,28270,28269.6,
41.9780,bf16,11927,12288,25,12,38.12,46,555,810,28269.9,28270,28269.9,
42.1490,bf16,11959,12288,8,12,38.96,46,555,810,28279.7,28292,28279.7,
42.3208,bf16,11969,12288,8,12,38.96,46,555,810,28279.4,28296,28283.2,
42.4927,bf16,11971,12288,8,12,38.96,46,555,810,28281.6,28298,28284.7,
42.6638,bf16,11971,12288,8,12,41.57,46,615,810,28282.8,28298,28285.1,
42.8346,bf16,11973,12288,8,12,41.57,46,615,810,28283,28300,28286.1,
43.0042,bf16,11973,12288,99,2,77.86,50,1980,9251,28284.3,28300,28287,
43.2215,bf16,11975,12288,99,2,77.86,50,1980,9251,28284.2,28302,28287.6,
43.3906,bf16,11975,12288,99,2,77.86,50,1980,9251,28284.1,28302,28288.6,
43.5634,bf16,11975,12288,99,2,131.93,51,1980,9251,28284.8,28302,28288.6,
43.7353,bf16,11975,12288,99,2,131.93,51,1980,9251,28284.8,28302,28288.6,
43.9043,bf16,11975,12288,99,2,131.93,51,1980,9251,28284.9,28302,28288.6,
44.0757,bf16,11975,12288,100,2,161.82,51,1980,9251,28284.9,28302,28288.6,
44.2489,bf16,11975,12288,100,2,161.82,51,1980,9251,28284.9,28302,28288.6,
44.4336,bf16,11975,12288,100,2,161.82,51,1980,9251,28285,28302,28288.6,
44.6210,bf16,11975,12288,100,2,162.71,52,1980,9251,28285,28302,28288.6,
44.7919,bf16,11975,12288,100,2,162.71,52,1980,9251,28286,28302,28288.6,
44.9762,bf16,11975,12288,100,2,162.71,52,1980,9251,28286,28302,28288.6,
45.1466,bf16,11975,12288,100,2,164.77,52,1980,9251,28286.1,28302,28288.6,
45.3171,bf16,11975,12288,100,2,164.77,52,1980,9251,28285.4,28302,28288.6,
45.4896,bf16,11975,12288,100,2,164.77,52,1980,9251,28286.1,28302,28288.6,
45.6594,bf16,11975,12288,100,2,164.83,52,1980,9251,28285.2,28302,28288.6,
45.8464,bf16,11975,12288,100,2,164.83,52,1980,9251,28285.3,28302,28288.6,
46.0318,bf16,11975,12288,100,2,164.96,52,1980,9251,28287.5,28302,28288.6,
46.2021,bf16,11975,12288,100,2,164.96,52,1980,9251,28286.3,28302,28288.6,
46.3724,bf16,11975,12288,100,2,164.96,52,1980,9251,28285.3,28302,28288.6,
46.5583,bf16,11975,12288,100,2,165.03,52,1980,9251,28285.3,28302,28288.6,
46.7319,bf16,11975,12288,100,2,165.03,52,1980,9251,28285.4,28302,28288.6,
46.9012,bf16,11975,12288,100,2,165.03,52,1980,9251,28285.4,28302,28288.6,
47.0726,bf16,11975,12288,100,2,165.25,53,1980,9251,28285.4,28302,28288.6,
47.2449,bf16,11975,12288,100,2,165.25,53,1980,9251,28285.5,28302,28288.6,
47.4145,bf16,11975,12288,100,2,165.25,53,1980,9251,28286.5,28302,28288.6,
47.5855,bf16,11975,12288,100,2,165.36,53,1980,9251,28286.5,28302,28288.6,
47.7572,bf16,11975,12288,100,2,165.36,53,1980,9251,28285.5,28302,28288.6,
47.9268,bf16,11975,12288,100,2,165.36,53,1980,9251,28286.6,28302,28288.6,
48.0986,bf16,11975,12288,100,2,165.54,53,1980,9251,28286.6,28302,28288.6,
48.2697,bf16,11975,12288,100,2,165.54,53,1980,9251,28287.4,28302,28288.6,
48.4411,bf16,11975,12288,100,2,165.54,53,1980,9251,28287.4,28302,28288.6,
48.6143,bf16,11975,12288,100,2,165.53,53,1980,9251,28285.7,28302,28288.6,
48.7836,bf16,11975,12288,100,2,165.53,53,1980,9251,28285.9,28302,28288.6,
48.9704,bf16,11975,12288,100,2,165.53,53,1980,9251,28285.8,28302,28288.6,
49.1563,bf16,11975,12288,97,9,165.92,54,1995,9251,28285.8,28302,28288.6,
49.3271,bf16,11975,12288,97,9,165.92,54,1995,9251,28285.8,28302,28288.6,
49.5144,bf16,11975,12288,97,9,165.92,54,1995,9251,28285.8,28302,28288.6,
49.6860,bf16,11975,12288,97,9,165.66,53,1995,9251,28286.9,28302,28288.6,
49.8724,bf16,11975,12288,97,9,165.66,53,1995,9251,28285.9,28302,28288.6,
50.0601,bf16,11975,12288,92,15,167.12,53,1995,9251,28287,28302,28288.6,
50.2316,bf16,11975,12288,92,15,167.12,53,1995,9251,28286,28302,28288.6,
50.4009,bf16,11975,12288,92,15,167.12,53,1995,9251,28286,28302,28288.6,
50.5739,bf16,11975,12288,92,15,165.7,54,1995,9251,28287,28302,28288.6,
50.7433,bf16,11975,12288,92,15,165.7,54,1995,9251,28286.3,28302,28288.6,
50.9156,bf16,11975,12288,92,15,165.7,54,1995,9251,28286.3,28302,28288.6,
51.0862,bf16,11975,12288,100,2,165.88,54,1995,9251,28285.1,28302,28288.6,1
51.2565,bf16,11977,12288,100,2,165.88,54,1995,9251,28289.1,28304,28289.1,1
51.5053,bf16,11977,12288,100,2,165.88,54,1995,9251,28286,28304,28290.1,1
51.6768,bf16,11977,12288,100,2,167,54,1995,9251,28286.3,28304,28290.9,1
51.8484,bf16,11977,12288,100,2,167,54,1995,9251,28287.1,28306,28292.5,1
52.0196,bf16,11977,12288,100,2,167,54,1995,9251,28286.9,28306,28292.5,1
52.1904,bf16,11977,12288,100,2,167.99,54,1995,9251,28286.9,28306,28292.5,1
52.3594,bf16,11977,12288,100,2,167.99,54,1995,9251,28286.9,28306,28292.5,1
52.5294,bf16,11970,12288,100,2,167.07,54,1995,9251,28287,28306,28292.5,1
52.7639,bf16,11956,12288,100,2,167.07,54,1995,9251,28287.2,28306,28292.5,1
52.9366,bf16,11956,12288,100,2,167.07,54,1995,9251,28287.2,28306,28292.5,1
53.1097,bf16,11956,12288,100,2,166.4,54,1995,9251,28287.1,28306,28292.5,1
53.2808,bf16,11981,12288,100,2,166.4,54,1995,9251,28289.3,28306,28292.5,1
53.5301,bf16,11965,12288,100,2,165.43,54,1995,9251,28289.3,28306,28292.5,1
53.7158,bf16,11993,12288,100,2,165.43,54,1995,9251,28289.3,28306,28292.5,1
53.9022,bf16,11991,12288,100,2,165.43,54,1995,9251,28289.3,28306,28292.5,1
54.0739,bf16,11983,12288,100,5,165.29,54,1995,9251,28289.3,28306,28292.5,1
54.2453,bf16,11983,12288,100,5,165.29,54,1995,9251,28289.3,28306,28292.5,1
54.4131,bf16,11983,12288,100,5,165.29,54,1995,9251,28289.3,28306,28292.5,1
54.5834,bf16,11983,12288,100,5,163.6,54,1995,9251,28289.3,28306,28292.5,1
54.7546,bf16,11983,12288,100,5,163.6,54,1995,9251,28287.2,28306,28292.5,1
54.9253,bf16,11983,12288,100,5,163.6,54,1995,9251,28287.4,28306,28292.5,1
55.1099,bf16,11983,12288,100,1,164.31,54,1995,9251,28287.4,28306,28292.5,1
55.2793,bf16,11983,12288,100,1,164.31,54,1995,9251,28287.4,28306,28292.5,1
55.4492,bf16,11983,12288,100,1,164.31,54,1995,9251,28287.4,28306,28292.5,1
55.6180,bf16,11983,12288,100,1,166.02,54,1995,9251,28287.4,28306,28292.5,1
55.7906,bf16,11983,12288,100,1,166.02,54,1995,9251,28287.4,28306,28292.5,1
